method,p,n,N,trial,sigma,beta,theta,error,error_max,error_min
PPI_lambda1,2,100,1500,3,0.01,0,-0.482903564,0.000221511,0.000307574,0.000135447
PPI_tuned,2,100,1500,3,0.01,0,-0.482903564,0.000196466,0.000286305,0.000106626
Debias_Lasso,2,100,1500,3,0.01,0,-0.482903564,0.000232767,0.000323705,0.000141829
Debias_ElasticNet,2,100,1500,3,0.01,0,-0.482903564,0.000232767,0.000323705,0.000141829
Debias_Ridge,2,100,1500,3,0.01,0,-0.482903564,0.000222487,0.000308561,0.000136414
Imputed,2,100,1500,4,0.01,0,-0.482903564,0.00038124,0.000760493,1.99E-06
Classical,2,100,1500,4,0.01,0,-0.482903564,0.0104384,0.016525698,0.004351102
PPI_lambda1,2,100,1500,4,0.01,0,-0.482903564,0.000358895,0.000717747,4.34E-08
PPI_tuned,2,100,1500,4,0.01,0,-0.482903564,0.000118132,0.000211122,2.51E-05
Debias_Lasso,2,100,1500,4,0.01,0,-0.482903564,0.000358209,0.000716333,8.50E-08
Debias_ElasticNet,2,100,1500,4,0.01,0,-0.482903564,0.000358209,0.000716333,8.50E-08
Debias_Ridge,2,100,1500,4,0.01,0,-0.482903564,0.000359651,0.000719276,2.66E-08
Imputed,2,100,1500,5,0.01,0,-0.482903564,0.00047257,0.00094507,7.06E-08
Classical,2,100,1500,5,0.01,0,-0.482903564,0.040227719,0.067554283,0.012901156
PPI_lambda1,2,100,1500,5,0.01,0,-0.482903564,0.000518205,0.001034961,1.45E-06
PPI_tuned,2,100,1500,5,0.01,0,-0.482903564,0.002139345,0.003062521,0.001216168
Debias_Lasso,2,100,1500,5,0.01,0,-0.482903564,0.000472123,0.000944171,7.47E-08
Debias_ElasticNet,2,100,1500,5,0.01,0,-0.482903564,0.000472123,0.000944171,7.47E-08
Debias_Ridge,2,100,1500,5,0.01,0,-0.482903564,0.000512353,0.001023433,1.27E-06
Imputed,2,100,1500,6,0.01,0,-0.482903564,0.000322703,0.000581682,6.37E-05
Classical,2,100,1500,6,0.01,0,-0.482903564,0.007228004,0.013861571,0.000594438
PPI_lambda1,2,100,1500,6,0.01,0,-0.482903564,0.000336564,0.00060831,6.48E-05
PPI_tuned,2,100,1500,6,0.01,0,-0.482903564,0.000336564,0.00060831,6.48E-05
Debias_Lasso,2,100,1500,6,0.01,0,-0.482903564,0.000321873,0.000579771,6.40E-05
Debias_ElasticNet,2,100,1500,6,0.01,0,-0.482903564,0.000321873,0.000579771,6.40E-05
Debias_Ridge,2,100,1500,6,0.01,0,-0.482903564,0.000331308,0.00059789,6.47E-05
Imputed,2,100,1500,7,0.01,0,-0.482903564,0.000418968,0.000782568,5.54E-05
Classical,2,100,1500,7,0.01,0,-0.482903564,0.01994524,0.039513759,0.000376721
PPI_lambda1,2,100,1500,7,0.01,0,-0.482903564,0.000405922,0.00077225,3.96E-05
PPI_tuned,2,100,1500,7,0.01,0,-0.482903564,0.00044089,0.000881727,5.22E-08
Debias_Lasso,2,100,1500,7,0.01,0,-0.482903564,0.000418275,0.000780867,5.57E-05
Debias_ElasticNet,2,100,1500,7,0.01,0,-0.482903564,0.000418275,0.000780867,5.57E-05
Debias_Ridge,2,100,1500,7,0.01,0,-0.482903564,0.000406793,0.000770237,4.33E-05
Imputed,2,100,1500,8,0.01,0,-0.482903564,0.000117104,0.000182895,5.13E-05
Classical,2,100,1500,8,0.01,0,-0.482903564,0.000743758,0.001442401,4.51E-05
PPI_lambda1,2,100,1500,8,0.01,0,-0.482903564,0.00011634,0.00017824,5.44E-05
PPI_tuned,2,100,1500,8,0.01,0,-0.482903564,0.00011634,0.00017824,5.44E-05
Debias_Lasso,2,100,1500,8,0.01,0,-0.482903564,0.000117373,0.000183538,5.12E-05
Debias_ElasticNet,2,100,1500,8,0.01,0,-0.482903564,0.000117373,0.000183538,5.12E-05
Debias_Ridge,2,100,1500,8,0.01,0,-0.482903564,0.000117329,0.000179916,5.47E-05
Imputed,2,100,1500,9,0.01,0,-0.482903564,6.77E-05,0.00011826,1.71E-05
Classical,2,100,1500,9,0.01,0,-0.482903564,0.004265278,0.00685168,0.001678875
PPI_lambda1,2,100,1500,9,0.01,0,-0.482903564,5.85E-05,0.000100423,1.65E-05
PPI_tuned,2,100,1500,9,0.01,0,-0.482903564,0.000246557,0.000407963,8.52E-05
Debias_Lasso,2,100,1500,9,0.01,0,-0.482903564,6.76E-05,0.000118006,1.71E-05
Debias_ElasticNet,2,100,1500,9,0.01,0,-0.482903564,6.76E-05,0.000118006,1.71E-05
Debias_Ridge,2,100,1500,9,0.01,0,-0.482903564,5.96E-05,0.00010244,1.68E-05
Imputed,2,100,1500,10,0.01,0,-0.482903564,0.000370691,0.000734123,7.26E-06
Classical,2,100,1500,10,0.01,0,-0.482903564,0.017871308,0.032240971,0.003501645
